305112-305114	174670	1508108818-1508156982	68-526
305178-305188	145902	1508174393-1508218581	69-1002
305202-305204	159877	1508228307-1508275078	74-1229
305207-305208	130359	1508283257-1508316011	52-372
305234-305237	115362	1508324414-1508353674	52-1147
305247-305252	153232	1508371125-1508416913	57-548
305282-305282	13750	1508426900-1508429998	75-207
305310-305314	158829	1508444880-1508490160	60-404
305336-305351	145169	1508501482-1508542131	36-868
305358-305358	15187	1508551273-1508554832	91-244
305364-305364	9265	1508564602-1508566723	50-141
